battery_id,cycle,capacity,voltage_mean,current_mean,temp_mean,SoH
B0005,1,,4.187419504014827,0.6434546691871927,25.32407901830568,
B0005,2,1.8564874208181574,3.5298286688693397,-1.8187019641679727,32.572328114029,70.31752145176546
B0005,3,,4.058826443375249,0.9490426727251161,26.635622628116085,
B0005,4,1.846327249719927,3.5373201277859714,-1.8175598506612867,32.72523522519307,69.93268822254888
B0005,5,,4.058138828852896,0.9505286974657304,26.778175507896698,
B0005,6,1.8353491942234077,3.5437367282719,-1.8164865418840956,32.64286193755933,69.51687627347842
B0005,7,,4.058904789088504,0.9523115206216739,26.70320405781683,
B0005,8,1.8352625275821128,3.5436661072601456,-1.8255891938692528,32.51487646204882,69.51359363157088
B0005,9,,4.058329981003973,0.9477284862498987,26.617004288392003,
B0005,10,1.8346455082120419,3.5423432526672167,-1.8261139590277586,32.38234901543077,69.49022300578339
B0005,11,,4.059785107501149,0.9326606943848299,26.51849450408942,
B0005,12,1.8356616600675495,3.5413347346347575,-1.8168108743168803,32.43418218230641,69.52871143241998
B0005,13,,4.058914241429766,0.9322724824266048,26.620706323978894,
B0005,14,1.8351461429226603,3.5410250495075215,-1.816791144707133,32.480416444757985,69.50918537073596
B0005,15,,4.053425643583468,0.9653291698755072,26.737918888901717,
B0005,16,1.8257567905665537,3.554133296801584,-1.8443412120754061,32.41046186109587,69.15354817205905
B0005,17,,4.055637707823975,0.9616213808811537,26.74145703066146,
B0005,18,1.8247738529891333,3.5529355991467955,-1.853972745505648,32.3461408313,69.11631779095818
B0005,19,,4.0551389874488235,0.9608152867945828,26.7021703105932,
B0005,20,1.824613268496936,3.5512057319376997,-1.8535899338510957,32.27679750791685,69.11023538859538
B0005,21,,4.054491573689291,0.961954518108792,26.608132946993933,
B0005,22,1.8246195526864504,3.549292319740949,-1.863380178294828,32.15709350345252,69.11047341263263
B0005,23,,4.0526146919932,0.9688176644385617,26.63314786563377,
B0005,24,,4.076087195502948,0.948479102987148,27.033644494333256,
B0005,25,1.8142019357673917,3.559759220648976,-1.872968810287894,32.36407129853099,68.71588899855706
B0005,26,,4.054612747973269,0.9671176035785914,26.870618187745674,
B0005,27,1.8137521577549054,3.558081969139198,-1.8826095043160833,32.3181954403762,68.69885291488265
B0005,28,,4.059265909682025,0.9281364622466176,26.738987031481408,
B0005,29,1.8134404914735822,3.555692244172496,-1.882536787636365,32.15709029211502,68.68704804070092
B0005,30,,4.053495431054621,0.9687280220511734,26.692190227813647,
B0005,31,1.8025980036306504,3.562746818017503,-1.8817935155260215,32.04407000314609,68.27637093999108
B0005,32,,4.057009589497505,0.9622055340791629,26.563313470921162,
B0005,33,1.80210690024615,3.5614521756489204,-1.8921861285036712,31.931593674911532,68.25776958972747
B0005,34,,4.056509050138727,0.9646896474341132,26.52595276450022,
B0005,35,1.802579500826209,3.5603420474985823,-1.9027629207037406,31.941655359029298,68.27567011577132
B0005,36,,4.055991881873581,0.962272056961881,26.591676949772925,
B0005,37,1.8030683142834096,3.5591189041401865,-1.9133470605822436,31.965008645476725,68.29418473126354
B0005,38,,4.056478346718693,0.9537153567418096,26.645032205307864,
B0005,39,1.8027776247196041,3.557886771846508,-1.9131602105481538,31.966241678512723,68.28317438483755
B0005,40,,4.079851333950047,0.9411642330468534,25.663244609650953,
B0005,42,1.8470259949329193,3.5520375235511907,-1.8553455745575975,32.37143341978575,69.95915434936069
B0005,44,,4.057903790387567,0.9612867786553304,26.015018000119397,
B0005,46,1.847417311283644,3.5525668436897124,-1.8746995273150975,32.70024990461686,69.9739761012228
B0005,48,,4.056383883924776,0.963212383695507,26.09181445728815,
B0005,50,1.8361774213478947,3.556794038327039,-1.873827212788385,32.32266411829938,69.54824674113685
B0005,52,,4.058279288673889,0.9697506680439039,25.709030057450274,
B0005,54,1.8257807475776242,3.5614100044534203,-1.883193546754683,31.98795810666763,69.15445558334606
B0005,56,,4.065739463308087,0.931056714150449,25.473631563964574,
B0005,58,1.8251136435078368,3.5566107947817986,-1.873239184822504,31.894456524691385,69.12918791699303
B0005,60,,4.0611501521821065,0.9648375330851495,25.427401199812184,
B0005,62,1.8255815042203762,3.5586742170266272,-1.9139593751505897,31.78039681801023,69.14690891274098
B0005,64,,4.060647477294544,0.9656310887431298,25.37095530984966,
B0005,66,1.8140311275083907,3.564103182686905,-1.9030532722310995,31.688747146342205,68.70941935417285
B0005,68,,4.067270138639281,0.9343625511181636,25.273682170348483,
B0005,70,1.8147691941158939,3.559588063594272,-1.9134590742247914,31.596747992569153,68.73737484362242
B0005,72,,4.06627015738475,0.9378723891405097,25.188122631656277,
B0005,74,1.813969388710352,3.556833231052199,-1.913620909902553,31.565586498787077,68.70708089542177
B0005,76,,4.063497194671534,0.9583515841331876,25.208644345593083,
B0005,78,1.802765665167823,3.5624410850948944,-1.9025819745719061,31.59124667045208,68.28272139709873
B0005,80,,4.070367166586395,0.923985399312232,25.22309620072603,
B0005,82,1.804077040117352,3.5591407106855666,-1.9130621638638965,31.603485399391182,68.33239188509168
B0005,84,,4.0705017213426595,0.9376239238395178,25.60871637467594,
B0005,85,,4.210968137972064,0.0073240257131663026,23.904181418379917,
B0005,86,1.8518025516704486,3.5573161327793144,-1.920618117118412,31.91556385491565,70.14007430986801
B0005,88,,4.130785490934083,0.6962458837408647,25.487835720020833,
B0005,90,1.8307038456739428,3.561870782772737,-1.9298830859597569,32.081128118597164,69.34092603938852
